,601119000
the Trump Make America Great Again Committee,118048000
Beto for Texas,116572000
Priorities USA Action and SMP. Not authorized by any candidate or candidate's committee.,68693000
Planned Parenthood Federation of America,61048000
PragerU ,59058000
"4Ocean, LLC",58506000
Comedy Central,47045000
"MO Research, Inc.",46620000
the ACLU,45355000
SOLAR ENERGY TODAY,44472000
News For Democracy,44221000
Concealed Online,43256000
Need to Impeach,41314000
Sierra Club,40682000
Andrew Cuomo for Governor,38893000
Judicial Watch,35426000
NextGen Climate Action Committee,33348000
the NRCC and not authorized by any candidate or candidate's committee.,33203000
the Coalition to Defeat Question 3,31151000
JB for Governor,31081000
"Donald J. Trump for President, Inc.",30583000
Alliance for a Better Minnesota Action Fund,29592000
Americans for Affordable Birth Control,28867000
"AAF Nation, LLC",27991000
Everytown for Gun Safety Action Fund,27844000
ExxonMobil,26071000
Elizabeth for MA,25747000
Keep and Bear,25470000
Priorities USA Action and SMP. (302) 469-3772. (202) 871-9255. Not authorized by any candidate or candidate's committee.,25187000
Planned Parenthood Action Fund.,24747000
"Reform Austin, Inc. ",24586000
National Education Association,23532000
Penzeys,22939000
Kamala Harris for Senate,22529000
NRA,22091000
NRATV,20108000
One Nation,19549000
Americans For Prosperity,18845000
DCCC,18123000
Stacey Abrams for Governor,17861000
Conservative Gear,16871000
CRTV,16810000
Turning Point USA,16786000
WeThePeopleHolsters ,16332000
Swing Left. Not authorized by any candidate or candidate's committee.,16330000
MoveOn.org Civic Action.,16326000
NRDC,16297000
Daily Wire,16149000
End Citizens United,15859000
No on Proposition 8: Stop the Dangerous Dialysis Proposition,15852000
Ben & Jerry's,15517000
Bill Nelson for U.S. Senate,15321000
Gillibrand for Senate,15012000
Heidi for North Dakota,14827000
Humane Society International,14770000
State Run Films,14646000
the NRCC and not authorized by any candidate or candidate's committee. www.nrcc.org,14497000
Sandy Hook Promise,14071000
Polis for Colorado,14070000
NowThis,14036000
Cordray/Sutton Committee,13972000
Clean Energy for a Healthy Arizona,13959000
International Rescue Committee,13923000
Congressional Leadership Fund,13754000
"Andrew Gillum, Democrat, for Governor",13539000
"ClearPath Action, Inc. Not authorized by any candidate or candidate's committee.",13490000
Priorities USA Action. Not authorized by any candidate or candidate's committee.,13472000
and Authorized by  Andrew Janz for Congress.,13419000
Americans for Prosperity,13302000
Federation for American Immigration Reform,13183000
Restoration PAC,12888000
BILL NELSON FOR U.S. SENATE,12555000
Human Rights Campaign,12535000
McCaskill for Missouri,12136000
NARAL Pro-Choice America,11597000
Senate Leadership Fund,11404000
Randy Boyd for Governor,11319000
Bredesen for Senate,11171000
Michigan Families for Economic Prosperity,11155000
Charlie Kirk,10972000
Ted Cruz for Senate,10679000
The Gonzalez Committee,10655000
Our Lives Our Vote,10617000
"Winning For Women, Inc.",10138000
Shri Thanedar for Governor,9993000
The Wilderness Society,9968000
Demand Justice,9900000
Tom Wolf for Governor,9722000
World Wildlife Fund,9669000
Shareblue Media,9588000
Circa,9577000
"American Center for Law and Justice, a d/b/a for Christian Advocates Serving Evangelism, Inc.",9441000
League of Conservation Voters,9384000
USA for UNHCR,9242000
Boredom Therapy LLC,9238000
"Florida Grown, P.C.",9192000
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",9181000
Color Of Change,9124000
SMP. Not authorized by any candidate or candidate's committee.,9059000
Kemp for Governor,8958000
Alliance Defending Freedom,8819000
The Nature Conservancy,8801000
Civiqs,8724000
John Cox for Governor 2018,8571000
"Philip Levine, Democrat, for Governor",8484000
SoCal Health Care Coalition,8377000
CARE,8333000
Judicial Crisis Network ,8298000
Stabenow for U.S. Senate,8261000
No AZ Energy Tax,8227000
Abdul El-Sayed for Michigan,8100000
BRITE Coalition.,8084000
SMP. (202) 871-9255. Not authorized by any candidate or candidate's committee.   ,8036000
"Students, Parents and Teachers Supporting Marshall Tuck for Superintendent of Public Instruction 2018, a project of EdVoice. Committee major funding by EdVoice. Not authorized by a candidate or a committee controlled by a candidate.",7982000
Newsy,7964000
Alliance for Climate Education,7888000
The Hill,7811000
the North Carolina Conservation Network,7804000
MJ for Texas,7730000
Webinar Technologies,7688000
"Marsy’s Law for Oklahoma, LLC, 15 Enterprise, STE 550, Aliso Viejo, CA 92656",7593000
"NBCUniversal Media, LLC",7531000
Maloney for New York,7503000
Zephyr for NY,7412000
Ned for CT. Richard Smith Treasurer. Approved by Ned Lamont.,7406000
Proud Right Winger,7394000
Nevadans for Affordable Clean Energy Choices,7339000
Celebrity Voice Changer,7258000
"With Honor Fund, Inc.",7253000
AARP ,7217000
"Citizens for Rauner, Inc.",7201000
Montanans for Tester,7092000
TYT Network,7043000
UPROXX,7042000
Be a Hero PAC. Not authorized by any candidate or candidate’s committee.,7013000
Convention of States Action,7010000
Levi Strauss & Co.,7000000
Center for Biological Diversity,6919000
"Larry Hogan for Governor, R. Christopher Rosenthal, Treasurer",6894000
Hillsdale College,6756000
DrugJustice,6690000
OZY Media,6659000
NRSC,6639000
"ORMAN FOR KANSAS, INC; TIM OWENS, TREASURER",6597000
Mic,6589000
Progress News Network,6559000
VICELAND,6547000
C-SPAN,6542000
Joe Kennedy for Congress.,6523000
Real Justice PAC and not authorized by any candidate or candidate's committee.,6518000
the National Democratic Redistricting Committee,6506000
Friends of Bernie Sanders,6498000
National Domestic Workers Alliance,6497000
Greenpeace USA,6476000
