,39513400
Facebook,3679100
Instagram,2278000
Beto for Texas,2056500
News For Democracy,1159900
ExxonMobil,1147600
the Trump Make America Great Again Committee,1145800
JB for Governor,943000
"4Ocean, LLC",892700
Need to Impeach,830900
SOLAR ENERGY TODAY,755600
Priorities USA Action and SMP. Not authorized by any candidate or candidate's committee.,701900
Planned Parenthood Federation of America,634900
Webinar Technologies,623500
Concealed Online,606700
the NRCC and not authorized by any candidate or candidate's committee.,594300
Andrew Cuomo for Governor,515600
"MO Research, Inc.",513700
National Education Association,512500
the Coalition to Defeat Question 3,484900
Kamala Harris for Senate,429200
NextGen Climate Action Committee,421300
PragerU ,407400
"Reform Austin, Inc. ",399100
"Donald J. Trump for President, Inc.",394200
Judicial Watch,392900
Gillibrand for Senate,381200
Priorities USA Action and SMP. (302) 469-3772. (202) 871-9255. Not authorized by any candidate or candidate's committee.,379100
McCaskill for Missouri,377500
Americans For Prosperity,377400
and Authorized by  Andrew Janz for Congress.,377200
Heidi for North Dakota,368100
Americans for Affordable Birth Control,368100
Sierra Club,367300
One Nation,350600
Penzeys,349500
Planned Parenthood Action Fund.,340900
Alliance for a Better Minnesota Action Fund,339400
Nevadans for Affordable Clean Energy Choices,328400
Comedy Central,322800
No on Proposition 8: Stop the Dangerous Dialysis Proposition,321200
Everytown for Gun Safety Action Fund,311500
Priorities USA Action. Not authorized by any candidate or candidate's committee.,298600
Congressional Leadership Fund,290300
No on Prop 10: Californians for Responsible Housing,282900
Pennsylvania Taxpayers Dollars,272300
DCCC,270400
"Winning For Women, Inc.",268300
Elizabeth for MA,267700
Clean Energy for a Healthy Arizona,260500
Stacey Abrams for Governor,250600
the ACLU,245400
End Citizens United,243400
Cordray/Sutton Committee,242000
Keep and Bear,238500
Americans for Prosperity,231400
CRTV,228100
"Marsy’s Law for Georgia, LLC Henry T Nicholas, Chair",223400
Sandy Hook Promise,222100
Bill Nelson for U.S. Senate,221200
Humane Society International,216800
Swing Left. Not authorized by any candidate or candidate's committee.,213400
Randy Boyd for Governor,210100
UnitedHealthcare,197900
Senate Leadership Fund,194200
Michigan Families for Economic Prosperity,192700
2A4LIFELLC,192400
League of Conservation Voters,191300
"AAF Nation, LLC",189400
Ben & Jerry's,189200
Marsy’s Law for Florida,188300
The Humane Society of the United States,187800
Mic,187800
NARAL Pro-Choice America,184200
Yes on Proposition 68 ,183400
International Rescue Committee,181900
"Marsy’s Law for Kentucky, LLC",175900
Restoration PAC,175100
NRDC,171700
BRITE Coalition.,170000
BILL NELSON FOR U.S. SENATE,165700
Be a Hero PAC. Not authorized by any candidate or candidate’s committee.,163700
DrugJustice,161100
SoCal Health Care Coalition,160800
SMP. Not authorized by any candidate or candidate's committee.,158100
"Students, Parents and Teachers Supporting Marshall Tuck for Superintendent of Public Instruction 2018, a project of EdVoice. Committee major funding by EdVoice. Not authorized by a candidate or a committee controlled by a candidate.",154100
2A4LIFE LLC,153200
Rosen for Nevada,153100
Cisneros for Congress,152200
Polis for Colorado,150400
O’Connor for Congress,149400
"ClearPath Action, Inc. Not authorized by any candidate or candidate's committee.",149100
Demand Justice,148700
Pfizer,148600
Zephyr for NY,147000
Friends of the Earth,145300
Defend Arizona. ,145100
Abdul El-Sayed for Michigan,145100
"Protecting Colorado's Environment, Economy, and Energy Independence",143400
ReBuild USA,142000
SMP. (202) 871-9255. Not authorized by any candidate or candidate's committee.   ,140300
Bredesen for Senate,139300
Sinema for Arizona,139100
"Florida Grown, P.C.",137300
USA for UNHCR,136000
CARE,136000
the NRCC and not authorized by any candidate or candidate's committee. www.nrcc.org,135900
AARP ,135600
NC Common Ground,130000
Conservative Gear,128500
Civiqs,128500
The Wilderness Society,128400
National Domestic Workers Alliance,128300
STAND FLAG POLES,127500
Working Families Party,124800
American Action Network.,124700
National Partnership for Women & Families,124100
Judicial Crisis Network ,120300
NRA,114500
MJ for Texas,113300
Greenpeace USA,113000
WeThePeopleHolsters ,112800
SEIU,112600
The Nature Conservancy,112000
the National Democratic Redistricting Committee,111900
"Andrew Gillum, Democrat, for Governor",111300
When We All Vote,109000
FirstQuoteHealth,106300
Federation for American Immigration Reform,104300
"With Honor Fund, Inc.",104200
Scott Wagner For Governor,102700
Nevada Priorities.,102400
Kemp for Governor,102400
Colorado United for Families,102400
Montanans for Tester,101400
NRDC Action Fund,101200
Shareblue Media,100200
Our Lives Our Vote,98400
Donnelly for Indiana,97100
The Kim Reynolds For Iowa Committee,96900
Amnesty International USA,96700
"Senate Republican Campaign Committee, P.O. Box 12023, Lansing, MI 48901. Not authorized by any candidate or candidate’s committee.",96500
Maloney for New York,96300
"Uber Technologies, Inc",96000
Center for Biological Diversity,94800
No AZ Energy Tax,94300
the Republican Party of Florida.  Not authorized by any candidate or candidate's committee.,93700
JVMI,93700
Shri Thanedar for Governor,93400
No on Prop 6: Stop the Attack on Bridge & Road Safety,93300
the Republican National Committee,93200
the California Democratic Party,92300
Finance Watch Dogs,91700
"Planned Parenthood Votes, 123 Williams St, NY NY 10038. Not authorized by any candidate or candidate's committee.",91500
Friends of Scott Walker,91400
TYT Network,91300
John Chiang for Governor 2018,91300
"Michigan Republican Party Not authorized by any candidate or candidates committee. 520 Seymour Ave. Lansing, MI 48933",91100
Eminent Series Group,91100
The Gonzalez Committee,90600
the North Carolina Conservation Network,90000
Patients For Affordable Drugs Action and not authorized by any candidate or candidate’s committee.,89800
John Cox for Governor 2018,88700
the NRCC and not authorized by any candidate or candidate’s committee.,88100
Friends for Kathy Hochul,87900
Coloradans for Fairness,87600
Pol. Ad Texans for Greg Abbott,87200
Floridians for a Fair Shake,86700
Ted Cruz for Senate,85800
Tammy Baldwin for Senate,85500
"MoveOn.org Political Action, not authorized by any candidate or candidate's committee.",85300
FCTRY,84900
The Coalition to Protect Patient Safety,84600
Catholic Relief Services,84500
Alliance for Climate Education,84400
Federation of American Hospitals,84100
Coloradans for Responsible Energy Development,83300
