Frank Luntz,"[1000, 4999]"
Family Health West,"[1000, 4999]"
EnergyBoom,"[1000, 4999]"
El Paso County Young Democrats - EPCYD,"[1000, 4999]"
Denver Made:  Buy Denver. Hire Denver.,"[1000, 4999]"
Connected Commerce Council,"[1000, 4999]"
Concerned Veterans for America,"[1000, 4999]"
Colorado Springs City Government,"[1000, 4999]"
Colorado Mountain School,"[1000, 4999]"
Colorado Independent CattleGrowers Association,"[1000, 4999]"
"City of Longmont, Colorado Government","[1000, 4999]"
"Cheney Galluzzi & Howard, LLC","[1000, 4999]"
Center for African American Health,"[1000, 4999]"
Centennial Institute,"[1000, 4999]"
CAIR Colorado,"[1000, 4999]"
"Breglio, Long & Associates","[1000, 4999]"
Blue Star Recyclers,"[1000, 4999]"
Black Market Translation,"[1000, 4999]"
Behold Israel,"[1000, 4999]"
AskSolar,"[1000, 4999]"
Andrew Smith for House District 16,"[1000, 4999]"
American Conservation Coalition - ACC,"[1000, 4999]"
Africans In Aurora For Jason Crow,"[1000, 4999]"
Adams County Democratic Party,"[1000, 4999]"
Emily Sirota for House District 9,"[999, 11949]"
Alexis for Assessor,"[996, 5977]"
Re-Elect Sheriff Sean Smith,"[995, 4976]"
Bluestem Kansas,"[973, 1946]"
Solarrebatesloving,"[962, 4809]"
EMILY's List,"[956, 5653]"
Comedy Central Central,"[947, 1894]"
Firearms Policy Coalition,"[936, 1871]"
OAF Nation,"[927, 5047]"
National Network of Abortion Funds,"[923, 3448]"
Orman for Kansas,"[911, 3798]"
Eric Rutherford,"[896, 5480]"
Democratic Senatorial Campaign Committee (DSCC),"[896, 4008]"
Cathy Myers,"[888, 4710]"
Armed American Supply,"[874, 6205]"
CREDO Mobile,"[871, 4762]"
Randy Bryce,"[866, 4091]"
Shaun King,"[854, 1923]"
San Juan Safe Communities Initiative,"[853, 2366]"
Amnesty International USA,"[842, 5181]"
Patriot Depot,"[836, 4897]"
We Are The Mighty,"[811, 3159]"
Kevin McCarthy,"[797, 1814]"
Defend Birth Control,"[791, 1872]"
"President Joe Shirley, Jr.","[791, 1710]"
National Partnership for Women & Families,"[788, 3941]"
Jacobin Magazine,"[786, 1572]"
DiversityInc,"[785, 2542]"
Drug Injury News,"[784, 1567]"
Elizabeth Dole Foundation,"[774, 1548]"
Access Fund,"[768, 1885]"
Ammar Campa for Congress,"[764, 1528]"
Active Measures,"[764, 1528]"
Artesia Chamber of Commerce,"[762, 3809]"
Protect The Harvest,"[755, 3150]"
FrackFeed,"[754, 3770]"
Ocean Conservancy,"[727, 16830]"
Rise Up Retail,"[727, 3635]"
Tax March,"[702, 3269]"
BookTV,"[690, 1381]"
Let Africa Live,"[684, 2485]"
Finance Watchdogs,"[684, 1655]"
Guzman Energy,"[677, 3387]"
With Honor,"[675, 1349]"
Danny O'Connor for Congress,"[662, 2962]"
AIPAC,"[647, 2912]"
Oceana,"[620, 3552]"
Stacey Abrams,"[615, 4177]"
theSkimm,"[615, 1230]"
Colorado Working Families,"[610, 11041]"
Jeff Merkley,"[607, 4941]"
Republican Party of SJCNM,"[592, 1184]"
National Geographic Society,"[580, 2900]"
"Animal Justice League of America, AJLA","[567, 1133]"
Environmental Working Group,"[562, 2841]"
America's Pledge on Climate,"[562, 2810]"
Showtime Documentary Films,"[562, 1124]"
Captains for Clean Water,"[561, 1494]"
Distractify,"[553, 7339]"
ClearPath Action Fund,"[546, 1824]"
National Audubon Society,"[535, 2676]"
Military Tees,"[535, 2068]"
Zephyr Teachout,"[531, 1843]"
Responsible Leadership New Mexico,"[530, 3213]"
Jacky Rosen for Nevada,"[528, 1133]"
Shield Republic,"[513, 2574]"
Phil Bredesen,"[494, 2577]"
Covenant and Controversy,"[494, 987]"
CarsonWatch,"[492, 2461]"
2nd Amendment Rights,"[488, 2439]"
Democratic Governors Association (DGA),"[485, 1806]"
Karin Housley,"[477, 953]"
Warrior 12,"[476, 2377]"
"Our Nature, Our Nation, Our Future","[474, 2369]"
Strauss Meats,"[471, 943]"
Count on Coal,"[471, 942]"
I Love My Freedom,"[469, 2024]"
Política para mí,"[468, 2631]"
World Mercury Project,"[458, 2292]"
Protect The House,"[454, 2354]"
Democratic Coalition Against Trump,"[446, 4228]"
The Meanest Woman Alive,"[442, 2208]"
Eric Swalwell,"[438, 2188]"
Concealed Carry,"[435, 2176]"
Graveyard Shift,"[434, 2193]"
National Democratic Redistricting Committee,"[433, 3119]"
White Coat Waste Project,"[429, 3453]"
Science for Humans and Freedom Institute,"[427, 8943]"
Anthem Foundation,"[427, 1738]"
News Procession,"[423, 1157]"
League of Women Voters of the U.S.,"[416, 1538]"
Harley Rouda,"[413, 1955]"
SlutBox,"[411, 2253]"
SDSU WEST,"[406, 812]"
Tim Ryan,"[401, 1670]"
Human Coalition,"[401, 1440]"
Andrew Gillum,"[393, 1653]"
314 Action,"[386, 1450]"
Dr. Kim Schrier,"[382, 771]"
Young America's Foundation,"[378, 3580]"
Gentle Giants Dog Food & Products,"[366, 731]"
Print For Progress,"[364, 2345]"
Animal Matters,"[364, 1708]"
ASPCA,"[363, 1759]"
ASMDSS,"[360, 1528]"
Meraki Journey,"[358, 1790]"
Joe Kennedy III,"[353, 1740]"
Dan Kildee,"[353, 1668]"
Graham Allen,"[352, 1469]"
The Tasteless Gentlemen,"[340, 1727]"
Dave Dodson for Senate,"[340, 1178]"
dittymoji,"[337, 1584]"
Topic,"[336, 1433]"
"The Law Offices of Vaughan de Kirby, A.P.C.","[333, 666]"
John Boatner for U.S. Congress TN-08,"[327, 1637]"
Eye.D.- Eyewear Durango  Fine Eyewear Shop,"[327, 1634]"
Get Off My Lawn with Gavin McInnes,"[326, 1331]"
LifeZette,"[324, 23842]"
Carbonated.TV,"[322, 1294]"
Nine Line Apparel,"[321, 1391]"
PETA (People for the Ethical Treatment of Animals),"[317, 1657]"
Rant Nation with Graham Allen,"[317, 1653]"
Kaniela Ing,"[315, 1369]"
Proud American Hunter,"[312, 1561]"
Build With Strength,"[309, 1546]"
E2 - Environmental Entrepreneurs,"[309, 1175]"
Heartland Democrat,"[307, 1534]"
GreaterHalf.com,"[304, 1123]"
Democratic Attorneys General Association,"[302, 1276]"
House of Patriots,"[302, 1257]"
Mercy For Animals,"[301, 2820]"
Climate Reality,"[301, 1693]"
Cheddar,"[296, 607]"
The Brookings Institution,"[295, 1478]"
MI Senate Republican Campaign Committee,"[291, 727]"
Anne Gonzales,"[287, 574]"
Bird + Stone,"[285, 1624]"
Rainforest Action Network,"[282, 1549]"
Louder with Crowder,"[279, 1475]"
Rock Steady Ecommerce,"[277, 1394]"
Richard Painter,"[276, 1119]"
Avant-Voce,"[275, 1375]"
Made In America Tax,"[275, 1173]"
Good Jobs Nation,"[274, 1393]"
Protect Our National Parks,"[273, 656]"
45th President Donald J. Trump,"[272, 1436]"
Zero Waste Produce Bags,"[272, 1357]"
Personal Liberty,"[272, 1153]"
World Wildlife Fund,"[269, 789]"
America's Navy,"[267, 1355]"
FreedomWorks,"[265, 1059]"
American Heart Association: You're the Cure,"[263, 804]"
NRDC Trump Watch,"[258, 568]"
Help for Essure Victims,"[257, 1221]"
Omaze,"[254, 1271]"
American Gun Association,"[253, 982]"
Compassion & Choices,"[248, 1238]"
NatureServe,"[248, 547]"
Rosa DeLauro,"[247, 1234]"
Donald J. Trump - USA,"[247, 1045]"
22 Words,"[246, 6094]"
Great America PAC,"[246, 1036]"
Smart Customer,"[235, 1073]"
Dangerous Documentaries,"[231, 1156]"
Colion Noir,"[231, 1153]"
Daily Vine,"[230, 1153]"
UnitedVoice.com,"[228, 1143]"
Save Animals Facing Extinction,"[228, 1139]"
Free Bella Swim,"[227, 1135]"
Heifer International,"[225, 1674]"
One Nation Design,"[225, 962]"
Bill O'Reilly,"[222, 1109]"
Sand Cloud,"[221, 1370]"
Bernat Blanket Stitch Along,"[221, 1105]"
MVP Disc Sports,"[221, 1103]"
National Farmers Union,"[220, 1099]"
New Mexico Democrats for Democracy,"[220, 787]"
Support The 2nd Amendment,"[219, 1590]"
Innocence Project,"[219, 1094]"
New American Road Trip,"[218, 897]"
Dianne Feinstein,"[215, 1137]"
Jewish Leadership Conference,"[215, 1071]"
Silkies,"[212, 1062]"
Disabled Over 50,"[212, 1062]"
The Christian Left,"[211, 1053]"
My Shop Therapy,"[211, 1053]"
Breaking Big,"[209, 848]"
Texans for Natural Gas,"[209, 452]"
Sashka Co.,"[207, 1034]"
PrintedKicks,"[203, 1058]"
Common Defense,"[202, 502]"
Conservatives Against Media Manipulation,"[201, 402]"
Hotspot Shield,"[199, 995]"
End Party Politics,"[199, 995]"
Chuck Schumer D-NY,"[198, 992]"
Utah Diné Bikéyah,"[198, 990]"
Tony Evers,"[196, 1091]"
Hornet Stories,"[188, 378]"
Bret Easton Ellis,"[187, 933]"
Tick for Nevada,"[187, 373]"
National Park Foundation,"[185, 503]"
Circa Pop Live,"[182, 912]"
BackThe2,"[181, 906]"
Capital & Main,"[178, 890]"
Ploughshares Fund,"[178, 889]"
Kevin Stitt for Governor,"[178, 448]"
Conservative Tribune,"[177, 952]"
Weird Nature,"[176, 881]"
In the Woods with Phil,"[173, 1509]"
Ross Barkan for State Senate,"[172, 862]"
Amy Vilela,"[172, 344]"
Sector 7G,"[171, 874]"
Lets Make USA Great Again,"[171, 854]"
Patty Murray,"[170, 959]"
Competitive Enterprise Institute,"[170, 850]"
John Cox for Governor 2018,"[170, 418]"
Battleraddle,"[170, 340]"
GroundUp,"[169, 1448]"
Chad Benson Show,"[169, 878]"
Peter G. Peterson Foundation,"[168, 838]"
NewDemPAC,"[168, 337]"
Rick Neal for U.S. Congress,"[167, 834]"
Organizing for Action,"[166, 1108]"
Tee Shirt Palace,"[165, 827]"
Pocket Politics,"[164, 1172]"
Topix Rewind,"[164, 821]"
Preemptive Love Coalition,"[164, 820]"
Abortion On Our Own Terms,"[162, 886]"
The People's Trumpet,"[160, 820]"
Joe Cunningham,"[160, 804]"
The People's Forum,"[155, 777]"
UsAgainstAlzheimer’s,"[155, 774]"
No Kid Hungry,"[154, 604]"
PetroValues,"[152, 761]"
The Wrap,"[151, 753]"
Wyoming Hunters & Anglers Alliance,"[151, 429]"
Shout Your Abortion,"[149, 921]"
Change vs. More of the Same,"[149, 297]"
Anatomically Correct,"[146, 732]"
Balanced News,"[144, 761]"
War On Our Future,"[144, 733]"
NTD Life,"[143, 9991]"
JD and Kate Industries,"[143, 736]"
Rednecknationco,"[143, 717]"
Prompt News,"[143, 325]"
Karen Mayne for Utah Senate 5,"[142, 712]"
Earthjustice,"[142, 285]"
350.org,"[139, 279]"
Co-ops Vote,"[138, 7688]"
The Lone Liberal Republican,"[138, 692]"
Portfolio Books,"[138, 688]"
Yale Program on Climate Change Communication,"[138, 344]"
Angie Craig,"[135, 419]"
Adrienne Bell for Congress TX-14,"[135, 324]"
Democratic Legislative Campaign Committee - DLCC,"[134, 267]"
Rebuilding America Now,"[133, 678]"
Armor Concepts,"[132, 663]"
Impact Fund,"[132, 660]"
Giving Brush,"[130, 904]"
Best Friends Animal Society,"[129, 644]"
The Center for Community Change,"[127, 634]"
State of Great MN,"[127, 633]"
Monique and Jocelyne Lamoureux,"[125, 626]"
Goods Unite Us,"[125, 365]"
The Guide,"[124, 264]"
Care2,"[124, 249]"
Justice Democrats,"[123, 444]"
Between the Scenes,"[122, 611]"
GZERO Media,"[122, 608]"
Soi Dog Foundation,"[121, 795]"
Mi Familia Vota,"[121, 464]"
NRSC,"[120, 994]"
Exclusive Apparel,"[118, 1071]"
The Independence Fund,"[118, 607]"
Bill Schuette,"[118, 337]"
Philadelphians for a Fair Future,"[118, 287]"
NextTribe,"[116, 578]"
LifeDaily,"[116, 496]"
Your Trump Shop,"[115, 809]"
VoteNOSFTaxes,"[115, 577]"
Voters - Not Politicians,"[115, 525]"
Pam Glick for Laramie County Clerk,"[115, 241]"
Bob Krist for Governor,"[115, 230]"
ConsumersTricks,"[113, 567]"
Selous Foundation for Public Policy Research,"[113, 565]"
Beesponsible,"[113, 271]"
Capital Research Center,"[113, 267]"
Veterans of Foreign Wars VFW,"[112, 561]"
iSideWith.com,"[110, 725]"
The White House Historical Association,"[110, 548]"
Sabrina Cervantes,"[109, 547]"
Help for Ovarian Cancer Victims,"[109, 545]"
Direct Expose,"[109, 545]"
Mayor Matt Hall,"[108, 541]"
Plan International USA,"[107, 570]"
National Association of Manufacturers,"[107, 535]"
United Nations Foundation,"[107, 534]"
Brut,"[106, 539]"
WinDem,"[105, 526]"
Cheapest Health Quotes,"[105, 525]"
World Relief,"[105, 226]"
Electric Nation: Powered By Wind,"[105, 210]"
NORML,"[104, 518]"
Action.GOP,"[104, 386]"
Equality Texas,"[103, 515]"
Tina Smith,"[103, 459]"
Coverage of the Trump Presidency by The Epoch Times,"[102, 766]"
National Association of Home Builders,"[102, 511]"
The House of Tees,"[102, 508]"
Abdul El-Sayed,"[101, 2085]"
Askov Finlayson,"[100, 4260]"
Polar Society,"[99, 198]"
The Trump Prophecy Movie,"[98, 1833]"
My Pay My Say,"[97, 486]"
Kristen Carlson for Congress,"[97, 194]"
Facts For Working People,"[96, 481]"
Factbox.tv,"[96, 481]"
Carol Moses for Madera County Superior Court Judge,"[96, 480]"
realtor.com,"[96, 479]"
Anthony Brindisi For Congress,"[96, 197]"
Save Your Home Now,"[95, 474]"
Angela Leet for Mayor,"[95, 191]"
Riverside County Sheriff Stan Sniff,"[94, 731]"
Topix Stars,"[94, 201]"
Blue Wave,"[93, 1453]"
Liberty Nation,"[93, 285]"
The News and Why It Matters,"[93, 279]"
The Daily Signal,"[93, 187]"
Friends of the IDF (FIDF),"[92, 734]"
Patriot Powered Products,"[92, 430]"
T-Mobile Workers United (TU),"[92, 183]"
Shenandoah Valley Battlefields National Historic District,"[91, 457]"
Bottom Line With Boris Epshteyn,"[91, 456]"
Rick Lax,"[90, 181]"
Anybody seen my slippers ?,"[90, 180]"
John Kasich,"[90, 178]"
Conservative Daily,"[89, 447]"
30A,"[88, 468]"
Linda Koop,"[88, 436]"
CARE,"[87, 774]"
Women Who Vote,"[87, 346]"
Conservation Ohio,"[87, 218]"
Discovery Institute,"[87, 175]"
Trump Store,"[86, 172]"
Right Scan Right Time,"[86, 172]"
Mad Dog PAC,"[86, 171]"
DW Business,"[86, 171]"
CANVAS Unplugged,"[85, 593]"
Opinion of the Times,"[85, 424]"
Planned Parenthood Action Council of Utah,"[85, 170]"
Tony Cho for Los Angeles County Superior Court Judge,"[84, 419]"
Republican Liberty Caucus,"[84, 182]"
Sharice for Congress,"[83, 2323]"
City of Green River,"[83, 413]"
Mayor Philip Levine,"[83, 346]"
Young Federalists,"[82, 409]"
National Committee on U.S.-China Relations,"[82, 165]"
Pfizer,"[81, 517]"
Republican Party of Maricopa County,"[81, 403]"
AFGE,"[80, 161]"
Afscme for Erin Murphy,"[79, 394]"
Paul Gomez Home Loan Expert,"[79, 393]"
Surescripts,"[78, 155]"
Politizen.org / NITPIX.org News in the Public Interest,"[76, 152]"
Big Think,"[76, 152]"
Watts for Congress,"[76, 151]"
Patriotic Democrat,"[75, 375]"
Honoring Our Veterans,"[75, 151]"
The Charlie Daniels Band,"[75, 150]"
NPR's Latino USA,"[75, 150]"
Definition.org,"[73, 5321]"
Liftable Engagement Services,"[73, 388]"
Michael Knowles,"[73, 174]"
FamiliesforLuz,"[73, 145]"
The Eric Metaxas Show,"[71, 356]"
Mike Pence,"[70, 9052]"
Human Rights Watch,"[70, 950]"
David Garcia,"[70, 352]"
Iron Ridge Designs,"[70, 140]"
Paul Bradley for State Senate,"[69, 347]"
Coastalteesfashion,"[69, 346]"
YouGov,"[69, 139]"
Happy Turtle Today,"[69, 139]"
The Humane Society of the United States,"[68, 342]"
YOUTH v GOV Film,"[68, 338]"
FloridaStrong,"[68, 278]"
Good Old Days,"[68, 137]"
Fix Politics Now,"[68, 137]"
Brut UK,"[68, 136]"
Your Energy,"[67, 559]"
2atees1,"[67, 177]"
Speech Moves,"[66, 446]"
HELLO BEAUTIFUL,"[66, 329]"
Conversa Fiada,"[66, 131]"
Kubs Lalchandani,"[64, 322]"
Pincause,"[64, 128]"
Auto Wise,"[64, 128]"
Alliance for a Better Utah,"[62, 311]"
Yorgan for Congress,"[62, 124]"
John Haste,"[61, 304]"
Cory Wolbach,"[61, 304]"
Delegate No Show,"[61, 303]"
Mic Dispatch,"[61, 122]"
Donald Trump Is My President,"[61, 121]"
Poor People's Campaign: A National Call for Moral Revival,"[60, 326]"
Stop Mandatory Vaccination,"[60, 300]"
CRTV,"[60, 296]"
Kialo,"[59, 297]"
Mayor Scott Singer,"[59, 292]"
Better Medicare Alliance,"[59, 119]"
North Carolina Citizens,"[58, 234]"
A well regulated Militia,"[58, 115]"
KNX 1070 NEWSRADIO,"[57, 115]"
Klean Kanteen,"[56, 9055]"
The American Counselor,"[56, 112]"
Water Lifestyle Co.,"[54, 649]"
Republican Party of Sarasota,"[54, 270]"
Dean Phillips for Congress,"[54, 269]"
SMART Politics,"[54, 128]"
South Florida Wildlands Association,"[54, 108]"
Sloan for Arizona,"[54, 108]"
Healthy Montana Campaign,"[53, 268]"
Landslide Poilitical,"[53, 263]"
Missouri's Voice,"[53, 144]"
Liberty Justice Center,"[53, 105]"
Save the Children Action Network,"[52, 1233]"
Andrew Yang for President 2020,"[52, 514]"
Jim Bradley,"[52, 259]"
John Sheeran for Judge,"[52, 258]"
J Lee Castillo for Congress,"[52, 116]"
Thrasher Coffee,"[52, 104]"
The Ripon Society,"[52, 104]"
Ryan Hampton,"[52, 104]"
Free the Weed,"[52, 104]"
Paramount Network,"[51, 257]"
Ken Waters - Thespian. Writer.,"[51, 254]"
America Rise Up,"[51, 250]"
Free Press,"[50, 250]"
Jess King for Congress,"[50, 170]"
Convention of States,"[50, 101]"
Fincher for House,"[49, 293]"
Emerging American Majorities,"[49, 274]"
We Make America,"[49, 247]"
Color Of Change PAC,"[49, 154]"
St. Louis Record,"[49, 99]"
Josh Pade,"[49, 97]"
The Decline and Fall of America Starring Jim Greenfield,"[48, 96]"
AARP Nevada,"[48, 96]"
Elect Shirley Brown,"[47, 236]"
Weber for Sheriff,"[47, 235]"
Equally American,"[47, 234]"
Al Muratsuchi for Assembly,"[47, 95]"
Senator Carlo Leone,"[47, 94]"
Jason Ellis Photography,"[47, 93]"
Ever Ambitious,"[46, 232]"
Drew McKissick,"[46, 117]"
New Mexico Senate Democrats,"[46, 92]"
Life Changing Videos,"[45, 91]"
Grabien,"[45, 90]"
Amplification,"[45, 90]"
X Straws,"[44, 269]"
Interwest Energy Alliance,"[44, 242]"
Scott Svonkin For Board of Equalization,"[44, 87]"
Hill for the Kansas 120th,"[43, 233]"
Representative Mickey Dollens,"[43, 215]"
Carl DeMaio,"[43, 212]"
SEIU,"[43, 107]"
POET,"[43, 105]"
Lebowski Lovers,"[42, 276]"
Wesley Bell for St. Louis County Prosecutor - Democrat,"[42, 212]"
Better Schools And Jobs,"[42, 211]"
Working,"[42, 209]"
Yes On B: Build the Veterans Cemetery,"[42, 207]"
Rep. Tony Dale,"[42, 85]"
Likewise Media,"[42, 84]"
Charlie Susano,"[42, 84]"
Chris Murphy,"[41, 210]"
Jason Rittereiser for Congress,"[41, 140]"
Don Turner Jr. for VT Lieutenant Governor,"[40, 81]"
Mikie Sherrill,"[39, 224]"
NAACP Legal Defense Fund,"[39, 197]"
King Sailfish Mounts,"[39, 196]"
Jessica Stalder for Laramie City Council Ward 1,"[39, 196]"
Imboden for Judge position 2,"[39, 196]"
What a Hell of a Way to Die,"[39, 194]"
Stand For Salmon,"[39, 194]"
Representative Stephanie Garcia Richard,"[39, 78]"
Wellness.com,"[38, 190]"
Elect Hof,"[38, 76]"
David Baria for Mississippi,"[37, 351]"
Sevigny for Congress,"[37, 191]"
Kevin Calvey,"[37, 186]"
Travis Helm for US House of Representatives,"[37, 184]"
Kevin Kuros,"[37, 184]"
Point Source Youth,"[37, 83]"
Scott Cepicky for State Representative,"[37, 74]"
Mallory Hagan for Congress,"[36, 309]"
Hillel International,"[36, 72]"
Kyrsten Sinema,"[35, 1442]"
Steve Smith for Congress,"[35, 174]"
Renee Hoagenson for Congress,"[35, 174]"
Rachelle Aud Crowe for Senate,"[35, 173]"
OZY FEST,"[35, 75]"
USA for UNHCR,"[34, 248]"
The Arc of the United States,"[34, 214]"
bullsugar.org,"[34, 171]"
UUSC: Unitarian Universalist Service Committee,"[34, 169]"
Jamie McLeod-Skinner for Oregon,"[34, 89]"
Mike Levin,"[33, 442]"
BuzzyShare,"[33, 276]"
Barbara Lee,"[33, 240]"
BruceJBerger,"[33, 165]"
70MillionVoters,"[33, 165]"
Voz Boricua,"[33, 65]"
TheRichest,"[33, 65]"
Matavita - Save The Elephants,"[32, 189]"
Acorn TV,"[32, 161]"
Elect The Assessor,"[32, 65]"
World News Reporter,"[31, 157]"
China US Focus,"[31, 154]"
Russian America TV,"[30, 168]"
Louise Valentine for State Senate,"[30, 155]"
John Boccieri for State Senate,"[30, 152]"
American Friends of Magen David Adom,"[30, 150]"
Jim Carns,"[30, 149]"
Mark Pinsley,"[30, 145]"
Travis Allen,"[30, 133]"
Sean Patrick Maloney,"[30, 113]"
OpsLens,"[29, 314]"
Florida Democratic Party,"[29, 215]"
Independent Republicans of Wyoming,"[29, 190]"
Matt Gaetz,"[29, 148]"
"Jeff Bradley, SC District 123","[29, 147]"
Dr. Dena Grayson,"[29, 146]"
San Mateo County Republican Party,"[29, 143]"
Don Rocha For County Supervisor 2018,"[29, 129]"
AARP Member Benefits,"[29, 59]"
Mike Collier,"[29, 57]"
"Important, Not Important","[28, 224]"
United Against Muslim Ban,"[28, 142]"
"The Law Office of Robert C Dominguez, P.A.","[28, 138]"
Tony Luetkemeyer,"[28, 57]"
Deputy Sheriffs' Association of San Diego County,"[28, 56]"
CRTV Tonight with Gavin McInnes,"[27, 439]"
James Thompson for Kansas,"[27, 189]"
Truthout,"[27, 137]"
Online ADA,"[27, 137]"
Tyler Diep for Assembly,"[27, 136]"
Deb Fischer,"[27, 55]"
Cavanagh for Supreme Court,"[27, 55]"
All Out,"[27, 55]"
Jeff Ford for Tennessee House of Representatives District 61,"[27, 54]"
Janee' Hanzlick for County Commissioner,"[27, 53]"
Gary Trauner for U.S. Senate,"[26, 646]"
Center for Reproductive Rights,"[26, 137]"
Dakota Meyer,"[26, 131]"
Patients For Affordable Drugs Action,"[26, 126]"
Yes On 1631,"[26, 88]"
Jeff Brandes,"[26, 67]"
Conversations with Bill Kristol,"[25, 157]"
Kevin Hern,"[25, 127]"
NC House Republicans,"[25, 126]"
David Osborne for State Representative,"[25, 126]"
Facing History and Ourselves,"[25, 125]"
Debra Hilstrom for Attorney General,"[25, 125]"
Elect Lisa Callan,"[25, 123]"
State Innovation Exchange,"[25, 100]"
Stop UHW Initiative Abuse,"[25, 56]"
"Elect Jackie Grimes: Representative, Wyoming HD 46-D","[25, 52]"
California Freedom & Prosperity Fund,"[25, 50]"
Oppose Kathy Kraninger,"[24, 269]"
Kevin de León for U.S. Senate,"[24, 253]"
Aspiration,"[24, 198]"
THE SPACE PAGE,"[24, 135]"
Fierce by mitú,"[24, 134]"
John Barrasso,"[24, 123]"
Dan David For Congress,"[24, 119]"
Steve Lonegan,"[24, 48]"
Guillermina Gonzalez for Delaware,"[24, 48]"
E. O. Wilson Biodiversity Foundation,"[23, 138]"
ArtProfileratx,"[23, 129]"
State Representative Manny Diaz Jr,"[23, 116]"
Dear Donald,"[23, 116]"
J Street,"[23, 115]"
Equal Rights Amendment,"[23, 115]"
Adam Greenberg for Senate,"[23, 113]"
Prop 3: Utah Decides,"[23, 47]"
Keith Ellison for Attorney General,"[22, 1329]"
Raúl Grijalva,"[22, 203]"
Catholic Relief Services,"[22, 111]"
Roaming Millennial Uncensored,"[22, 110]"
The Underground Liberal,"[22, 109]"
The News Literacy Project,"[22, 109]"
Manhattan Home Design,"[22, 108]"
Gulf State News,"[22, 108]"
Breakfast Club,"[22, 44]"
Changetherules.org,"[22, 43]"
NTK Network,"[21, 1104]"
Working Families Party,"[21, 669]"
In Search of Liberty,"[21, 175]"
Jewish Democratic Council of America,"[21, 160]"
United States Holocaust Memorial Museum,"[21, 154]"
Movement Voter Project,"[21, 107]"
Private Briefing,"[21, 106]"
Jordan Chariton,"[21, 106]"
"Miller & James, LLP","[21, 105]"
Jason Perillo,"[21, 105]"
Emily Randall for Senate,"[21, 104]"
Elect Debra Entenman,"[21, 104]"
Adam Laxalt,"[21, 104]"
Conservative Writers,"[21, 103]"
One Nation,"[21, 44]"
The Rutherford Institute,"[20, 124]"
Howstuffworks,"[20, 122]"
Tahirah Amatul-Wadud,"[20, 108]"
"Director Joe Kuebler, EMWD","[20, 102]"
Sara Love for Maryland Delegate,"[20, 101]"
Proud Americans Supply,"[20, 101]"
Elliott Adams - Kansas Candidate for US Senate 2020,"[20, 101]"
David Holden 2018,"[20, 101]"
African Wildlife Foundation,"[20, 101]"
2nd Amendment For Life,"[20, 101]"
Wendy Rogers,"[20, 100]"
Washington State Democratic Party,"[20, 100]"
Vera Institute of Justice,"[20, 100]"
Outvote,"[20, 100]"
National Medal of Honor Museum,"[20, 99]"
Lev Haolam - Supporting Israel's Heartland,"[20, 99]"
Greg Palast,"[20, 99]"
Paul Cummings for BART Director,"[20, 98]"
Marsha Holland,"[20, 96]"
Saveourpublicschools,"[20, 46]"
Anton Andrew for State Representative,"[20, 41]"
"Imprimis, a Publication of Hillsdale College","[19, 144]"
Ocean Helper,"[19, 108]"
Concerned Citizens for Nuclear Safety (CCNS),"[19, 102]"
Union Stripes Flag Company,"[19, 95]"
NO New Oklahoma TAXES,"[19, 95]"
The Donald Stuff,"[19, 94]"
Bob Casey,"[19, 90]"
Americans for Prosperity -  Florida,"[19, 76]"
1MISSION,"[18, 108]"
Gathering Together,"[18, 96]"
Re-Elect Trent for Albany County Attorney,"[18, 93]"
Not A Nuisance,"[18, 93]"
Vickie Yates Brown Glisson,"[18, 92]"
Stop the wall,"[18, 92]"
Build CT,"[18, 92]"
Ben R. Luján,"[18, 92]"
Anthony Bonna,"[18, 92]"
Support Kasie’s Law,"[18, 90]"
Public Discourse,"[18, 90]"
Connie M. Smith,"[18, 90]"
Geoff Diehl,"[18, 89]"
Nasty Woman Cosmetics,"[18, 88]"
Chewsy Pet,"[18, 88]"
Arkansans for Jobs and Justice,"[18, 63]"
Carlos Reyes for Congress,"[18, 40]"
Support The Court TX,"[18, 36]"
Dr. Charles Schwertner,"[18, 35]"
Celebrity Voice Changer,"[17, 1086]"
Phone2Action,"[17, 121]"
Presidential Collections,"[17, 107]"
New Frontier Chronicle,"[17, 87]"
Tim Hugo,"[17, 86]"
SeaLegacy,"[17, 86]"
Pursuit,"[17, 86]"
Jetties Bracelets,"[17, 86]"
FinancialHealth.net,"[17, 86]"
Broken Equality,"[17, 86]"
Forest Fire Facts,"[17, 85]"
Congressman Andy Biggs,"[17, 85]"
The Global Catholic Climate Movement,"[17, 84]"
Win Without War,"[17, 83]"
Everytown for Lucy McBath,"[17, 42]"
Adam VanHo for Ohio Senate,"[17, 35]"
MagiQuiz,"[16, 1257]"
The University of Chicago,"[16, 1081]"
Sun Gazing,"[16, 1079]"
Huru International,"[16, 193]"
Becket,"[16, 94]"
Make HIM Great,"[16, 93]"
Union Patriots,"[16, 82]"
Make America Float Again,"[16, 82]"
Judicial Watch,"[16, 82]"
Independent Women's Voice,"[16, 82]"
Tara Phelps for LD16 House,"[16, 80]"
Charles Koch Institute,"[16, 80]"
Brad Perry,"[16, 78]"
"Rep. Ted Davis, Jr.","[16, 54]"
Resist Trump's agenda,"[15, 191]"
Forward Thinking Politics,"[15, 91]"
Open and Affirming Coalition UCC,"[15, 77]"
MassMutual,"[15, 77]"
