,16192690
No on Proposition 8: Stop the Dangerous Dialysis Proposition,13695000
SOLAR ENERGY TODAY,11707655
Students, Parents and Teachers Supporting Marshall Tuck for Superintendent of Public Instruction 2018, a project of EdVoice. Committee major funding by EdVoice. Not authorized by a candidate or a committee controlled by a candidate.,7964000
SoCal Health Care Coalition,7620852
Kamala Harris for Senate,5697999
Yes on Proposition 68 ,5020534
Harder for Congress,4756862
No on Prop 10 – A Flawed Initiative That Will Make The Housing Crisis Worse, a coalition of housing advocates, renters, large and small businesses, taxpayer groups, and veterans. ID# 1406422,3805994
NextGen Climate Action Committee,3486917
Reform California,3093450
Solar Programs In Ca Counties,2772443
Villaraigosa for Governor 2018,2742973
Katie Hill for Congress,2693000
GOAL: San Diegans for the River Park School Funding Soccer and a Tax-Free Stadium,2575000
GOAL SD: San Diegans for the River Park, School Funding, Soccer, and a Tax-Free Stadium,2571927
No on Prop 6: Stop the Attack on Bridge & Road Safety,2543000
Hawthorne Gardening Co. ,2409877
Yes 4 Children's Hospitals, Yes on Proposition 4, sponsored by California Children's Hospital Association, committee major funding from Children's Hospital Los Angeles, Valley Children's Hospital, Children's Hospital of Orange County,2339000
Likewise Media,2116547
NextGen Climate Action,2101473
the Devin Nunes Campaign Committee,2095948
TRAVIS ALLEN FOR GOVERNOR 2018,1850580
Harley Rouda for Congress,1776146
Gayle McLaughlin for Lt. Governor FPPC#1396385,1718000
News For Democracy,1708705
No on Prop 10: Californians for Responsible Housing,1701000
Paid for by Dave Jones for Attorney General 2018,1594000
California Counties Solar Program,1572744
Essayli for Assembly 2018,1478000
Gavin Newsom for Governor,1453970
Congressional Leadership Fund,1428553
Andrew Janz for Congress,1370000
House Majority PAC and Priorities USA Action. Not authorized by any candidate or candidate's committee.,1346829
AIDS Healthcare Foundation,1291000
Jeff Bleich for Lieutenant Governor 2018,1262992
Becerra for Attorney General 2018,1186998
Advance California,1153961
End Citizens United,1141185
DCCC. Not authorized by any candidate or candidate’s committee.,1140000
Paid for by Educators Supporting Tony Thurmond For Superintendent Of Public Instruction 2018, Sponsored by Teachers and School Employee Organizations.   Committee major funding from California Teachers Association, California Federation of Teachers, and SEIU California State Council.   Not authorized by a candidate or a committee controlled by a candidate.,1137819
Baker for Assembly 2018,1135000
SoCal Daily Media,1129900
Ted Howze for Congress,1078000
Shareblue Media,1005059
Civil Justice Association of California,994978
Clear the Air Coalition: Working to ensure a diverse range of voices is heard and important questions are answered before critical decisions are made about San Diego’s climate future. Our coalition includes business, environmental, civic and taxpayer leaders, and Sempra Services.,989000
WOMEN VOTE!,982000
VILLARAIGOSA FOR GOVERNOR 2018 FPPC ID# 1392364,941000
Keep Farming in Oceanside,922000
MO Research, Inc.,890202
GRACE,792000
Denham for Congress. Approved by Jeff Denham.,767000
Courage Campaign,751956
Cole Harris for LT. Governor 2018,735000
BRITE Coalition.,702286
Educators Supporting Tony Thurmond For Superintendent Of Public Instruction 2018, Sponsored by Teachers and School Employee Organizations. Committee major funding from California Teachers Association, California Federation of Teachers, and California Faculty Association. Not authorized by a candidate or a committee controlled by a candidate.,682926
Yes on 10,667193
The Asia Society,662499
California Republican Party,657000
TAKE BACK CALIFORNIA PAC,656000
Defend Our Future,651000
Our Lives Our Vote,620000
Coalition for Affordable Housing,619987
Nick Josefowitz for Supervisor 2018,614618
Paid for by DCCC. (202) 863-1500. Not authorized by any candidate or candidate’s committee.”,589000
TJ Cox for Congress,568000
CALinnovates,564836
Walters for Congress,560000
Young Kim for Congress,547000
California Teachers Association,544000
The California Endowment ,538587
Friends of SDSU, a coalition of SDSU alumni, business and community leaders. Major funding by Jack McGrory, Frederic Luddy and Robert Payne.,533989
Conservative Leadership Alliance, Inc.,517000
California Calls,500000
NRA,496194
ACCE Action,488999
Elizabeth Heng for Congress,482000
Everytown for Gun Safety Action Fund. Not authorized by any candidate or candidate’s committee.,475000
