,1492249
The Tilted Glass,4
The Rocket Group ,4
Scott Davis for Tennessee.  Tom Baker, Treasurer.,4
SC Alliance To Fix Our Roads,4
Rob Wittman for Congress,4
Progress Virginia,4
New American Media Group LLC,4
Nancy Robbinson for Orange County School Board Chair (Nonpartisan),4
Lindsey Deckard for Alabama State Representative,4
Jay County REMC,4
James for NY,4
Indivisible Project,4
Friends of Matt Jensen,4
Friends of Marty Quinn Senate 2018,4
FRIENDS OF RENEE HOAGENSON,4
Dennis Patman Jones Campaign, Hon. Bill Baker, Treasurer, in compliance with the voluntary limits of the Judicial Campaign Fairness Act,4
David Richardson for Congress,4
the Greater Wisconsin Political Fund, not authorized by any candidate or candidate’s agent or committee. ,3
Woodruff Electric Cooperative Corporation ,3
The Pharmaceutical Research and Manufacturers of America,3
The Harrington for District Attorney Committee,3
The Alaska Support Industry Alliance, 3301 C Street, Suite 205, Anchorage, AK 99503,3
Steve Smith for Congress ,3
Stephen Perenich for Congress,3
Stabenow for U.S. Senate,3
South Florida Wildlands Association,3
Sierra Nevada Revolution,3
Serve America PAC,3
Save San Diego Neighborhoods, Inc.,3
SEIU on behalf of iAmerica Action,3
SAVE Action PAC,3
Philadelphians for a Fair Future,3
No New Oklahoma Taxes,3
McKenzie Cantrell for State Representative,3
Matt Rosendale for Montana,3
Maria Markhasin-Weekes for Broward County Circuit Court Judge, Group 46, Non Partisan,3
Lisa Brown for Congress,3
Kenneth Mejia for Congress,3
Justice San Diego supporting Genévieve Jones-Wright for District Attorney 2018, sponsored by Alliance San Diego Mobilization Fund. Committee major funding from: Quinn Delaney,3
Joan Greene for Congress,3
Friends of Mazie Hirono,3
Friends of Bill Lowry,3
Delgado for Congress,3
Cort Vanostran for Congress,3
Committee to Elect Keri Ingle, Kenneth Ingle, Treasurer,3
Californians for Safe and Affordable Housing,3
Bier Station, LLC,3
Barve for Maryland,3
Andy Kim for Congress,3
American Jewish World Service,3
American Civil Liberties Union,3
мои личные средства в рекламу моей компании,2
the Foundation for Independent Voter Education,2
the Communications Workers of America,2
the Committee to Elect Vivianne Del Rio for Miami-Dade Circuit Court Judge, Group 14,2
Williams for Senate 34,2
Washington Education Association Political Action Committee,2
Voters Not Politicians | PO Box 8362 Grand Rapids, MI 49518,2
Vance Aloupis, Republican, for State Representative, District 115.,2
The Greg Bonnen Campaign,2
The Committee To Elect Andrew J Gleeson,2
Texans for Charles Schwertner,2
TRAVIS ALLEN FOR GOVERNOR 2018,2
Sinema for Arizona,2
Sabrina Cervantes for Assembly - FPPC ID# 1392561,2
SEIU Local 1,2
SEIU,2
Rose for Congress,2
Rob O'Brian for State Senate Committee, Grant Schwartz, Treasurer,2
Re-Elect Charles Allen for Ward 6, Pat Johnson, Treasurer, 1530 D Street, NE Washington, DC 20002,2
Pramila for Congress,2
Political advertisement paid for and approved by the Committee to Elect Adam Pollack Circuit Judge, Group 24,2
Patriot Majority USA,2
Paid for by Remember Mississippi PAC. Not authorized by any candidate or candidate's committee. www.RememberMississippi.org,2
Paid for by Claire Celsi for Iowa Committee,2
Paid For By Friends Of Marilyn Mosby,2
New Mexico Oil & Gas Association,2
Must Read Alaska, with current events of interest to Alaskans,2
Mi Familia Vota Education Fund,2
Matt Hall for Mayor 2018,2
Mallory Hagan for Congress,2
Luetkemeyer for Senate  Al Landes, Treasurer,2
Lincoln Land Wind,2
Ken King for State Representative,2
JoyAnn Ruscha for RTD B,2
Jonathan Lewis for Congress 2018,2
John Anthony Castro,2
Grego for House 2018 ,2
Friends of Whitver,2
Friends of Natasha Marcus,2
Friends of MIchele Gregory, Treasurer: Natasha Donoway,2
Friends of Josh Green,2
Friends for Zach Nunn,2
Fiends of Donna Campbell,2
Defend Arizona. ,2
David Azad for County Commissioner,2
Cournoyer for Senate,2
Conservation Ohio and not authorized by any candidate, candidate's committee, or political party,2
Congressional Leadership Fund,2
Committee to Re-Elect Billy Orgel,2
Committee to Elect Richard Ojeda,2
Committee for Alameda County Childcare & Early Education,2
Clean Energy Jobs Ohio,2
Citizens for East Lansing's Future,2
Boucher for CT, Ellen Essman, CPA, Treasurer. Approved by Toni Boucher,2
Blackburn Tennessee Victory Fund,2
Alliance for a Better Minnesota Action Fund,2
32BJ SEIU,2
the Colorado Democratic Party,1
the ASPCA,1
and approved by the Committee to Elect Dean Mosley, nonpartisan candidate for judge. Ninth Judicial Circuit (Orange and Osceola) -Group 41.,1
Yuko Social LLC,1
Vote4DA Campaign, a project of the ACLU of California,1
Tim Greimel for Congress,1
The Peoples Climate Movement,1
The Fernando Padron Campaign,1
The Committee To Elect Jake Porter,1
Texans for Kelly Hancock,1
Taylor Sappington For Change,1
Susan Ellenberg for Santa Clara County Supervisor FPPC# 1394541,1
Stephanie Murphy for Congress,1
Sophe Cook Pope for Board of Education,1
Shri Thanedar for Governor,1
Repair Our Schools Now Coalition,1
Regina Cobb 2018 ,1
Rebeca Sosa for Miami-Dade County Commissioner, District 6,1
REGULATED FUNDS BY MICHIGAN PLANNED PARENTHOOD VOTES SUPER PAC, P.O. BOX 15041, LANSING, MI 48901. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE.,1
Protect Our Winters Action Fund,1
Pol. Adv. Pd. for by Mr. Sandy McGhee,1
Phil Weiser for Colorado.,1
Paid for by Jay Bush for State Representative, Jason Schultz Treasurer,1
Paid for by Dave Jones for Attorney General 2018,1
Oral Health America,1
Official Funds from the Office of Congressman Tom Reed,1
NumbersUSA,1
No Cuts to Care,1
Nick DiCeglie, Republican, for State Representative,1
Melanie Hill for State Board of Education District 2, Treasurer Kelli Pylant, 109 Princeton Drive, Dothan, AL 36301,1
McKeen for State Senate, Robin Hettrick, Treasurer. Approved by Aili McKeen.,1
Martin Harry Campaign,1
Lea Marquez Peterson for Congress,1
Kaump for Wisconsin,1
Katie Porter for Congress,1
Julio Gonzalez for Congress,1
John Wolfe for U.S. Senate,1
Jefferson County Democratic Party, Box 10522, Birmingham 35202,1
Jaime Hurtado for Supervisor 2018,1
Home Improvement Deal,1
Healthcare Workers Rising Massachusetts ,1
Hartwig for Wisconsin,1
Guillermina Gonzalez for Delaware,1
Fryer for Arizona. Authorized by Kelly Fryer.,1
Friends of Troy Rolling,1
Friends of Thomas "Mac" Middleton, Earle Knapp, Jr., Treasurer,1
Friends of Scott Goldberg, Andre Smotherman, Treasurer,1
Friends of Mary Kay Sigaty, Hong Brereton, Treasurer,1
Friends of Jonathan Porter; Brenden Carlson, Treasurer,1
Friends of Dave Ernst; Chris Hendrix, Treasurer ,1
Friends of Bridget Fitzgerald,1
Friends of Bob Thomas,1
Friends of Ben McAdams,1
Friends of Angela Conley ,1
Firelands Electric Cooperative, Inc. ,1
Equality Texas.,1
Emily Sirota for Colorado,1
Elect Kathy Hoffman for Superintendent,1
Denice Gary-Pandol,1
Comstock for Congress,1
Committee to Elect Tim Wadsworth. 1175 Helicon Rd. Arley, AL 35541,1
Committee to Elect Marc Snyder,1
Citizens for Ryan C. Greene; LaShana Lewis, Treasurer,1
Chuck Brannan, Republican for State Representative District 10.,1
Catherine Krantz for Congress,1
Campaign to Elect Dyotha R Sweat, B. Billie Treasurer,1
California Republican Party www.cagop.org,1
By Authority, Dr Richard Bruno for Maryland; Mary Bruno, Treasurer,1
Bryce for State Senate,1
Brian Payton for Eureka City School Board,1
Brian Flynn for Congress,1
Brandy Brooks Power Posse; Treasurer: Eleanne Brooks,1
Bill Schuette for Governor,1
Barbara Sanders, nonpartisan candidate for Franklin County Judge.,1
Authority Fredericks for Maryland; Fay Fredericks Treasurer,1
American Energy Alliance,1
ALLIANCE OF AUTOMOBILE MANUFACTURERS,1
21st District Democratic Team,1
the National League of Cities,0
the Marine Fish Conservation Network,0
the Kopachek Party,0
the Kentucky Democratic Party,0
the Foundation for Constitutional Government,0
the Committee to Elect Michelle Ciccolo.,0
the Committee to Elect Carolyn Parker, 2600 E. Meighan Blvd., Gadsden, AL 35903,0
the Campaign Committee to Elect Michelle Gorelow,0
the Alliance for Michigan Power,0
momsagainstpoverty,0
mark deon,0
friends of John Michael Montgomery 2017,0
XSTRAW,0
World Wildlife Fund,0
Working Families Party,0
Willes Lee,0
WhyHunger,0
WeLoveTrump,0
Voters Response,0
Vote Nick Guy,0
Vote Gregg Lawrence - Beverly Burger, Treasurer,0
Unseen,0
Union of Concerned Scientists,0
Union Workers Have Rights ,0
Union Patriots,0
UCR,0
U.S. National Committee for UN Women,0
Trumpified News,0
Trump Rules,0
Traci Stephens,0
Todd Litton for Congress,0
Tiffany Willis,0
ThoughtFull Enterprises, Inc.,0
The Unofficial Bill O'Reilly Fan Club,0
The Rights Party,0
The Right Way,0
The Pragmatic Libertarian,0
The Palmetto PAC. Not authorized by any candidate or candidate committee. www.palmettopac.org,0
The Niskanen Center,0
The Mercatus Center at George Mason University,0
The Markey Committee,0
The Lynne Craven Campaign for School Board District 2,0
The Libertee Company,0
The Libertarian Coalition,0
The Independent Republicans of Wyoming, a registered 501(c)(4). The Independent Republicans of Wyoming is not affiliated with any political campaign and this website was not authorized by any candidate or candidate's committee.,0
The Humane Society of the United States,0
The Democratic Coalition,0
The Committee to Elect Jennie Sherwood,0
The Committee to Defend The President,0
The Central Louisiana Regional Chamber of Commerce,0
The Better World Campaign ,0
The American Times,0
The American Friends Service Committee (AFSC),0
The America First News,0
Texans for Trent Ashby,0
Terrell N. Fritz,0
TAS Apparel,0
Sycamore Agency,0
Swenson for House,0
SupChina,0
Steven ,0
Steve Guiliotis,0
Staance, an open community on a mission to bring transparency to political polling,0
Spurlock for Congress,0
Spotify,0
Solar Rebates,0
Soi Dog Foundation,0
Shruti Bhatnagar for Montgomery County, Pamela Coukos, Campaign Chair,0
Shenandoah Valley Battlefields Foundation,0
Shawn Dewane,0
Shalon Latour,0
Serve America Movement,0
Senior Lifestlye Improvement Inititive ,0
Sand for North Dakota - Chris Hanson, Treasurer,0
San Diego County Democratic Party,0
SC Club for Growth,0
Ross Spano for Congress,0
Roberto Martinez,0
Rob Walker for Ky House,0
Re-elect David N. Smith to Scottsdale City Council,0
Ray Smith for Mayor of Shreveport,0
Quorum Analytics, Inc.,0
Prof.V.Randall,0
Pro-Truth Pledge monthly donors (average donation of $25),0
Presidential Collectibles LLC,0
Politicon,0
Polilit & Grit ,0
PoliEqual,0
Personal Liberty,0
People for Farnsworth,0
Penguin Young Readers,0
Park for Platte (Park4Platte), Wanda Park, Treasurer,0
Paleo Politico News,0
Paid for by Hubbell for Governor,0
Paid For By Swalwell For Congress - P.O. Box 2847 Dublin, CA 94568,0
Out Of Line Wear,0
Our Lives Our Vote,0
Organizing for Action,0
Online Carry Course,0
Online ADA,0
One Nation Design,0
OD Action,0
Not My NRA,0
No on Proposition 8: Stop the Dangerous Dialysis Proposition,0
Nicks for County Commission, Jim Hand, Treasurer,0
NextGen Climate Action,0
New York State Laborers' Union,0
New York State Democratic Senate Campaign Committee,0
Neal Dikeman for Senate,0
Nathan Evershed for District Attorney,0
NYS Laborers' LECET,0
NM for Equine Rights & Open Government,0
NAACP Legal Defense Fund,0
MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.,0
Morrisey for Senate, Inc.,0
Molle & Alice,0
Mitchell Blatt, Political Columnist,0
Mike Levin for Congress,0
Mike Braun for Indiana,0
Middle Class Voices,0
Michael Campbell,0
Mercy Corps,0
Maura Healey Exposed,0
Matt Spritz, Republican, for State Representative,0
Matt Longjohn for Congress,0
Mary Throne for Governor,0
Marcus Ferrell for District 24,0
Maple Heights African American Gazette,0
Luis Padilla,0
Loftus 2018 Committee,0
Little Dictator Game,0
LifeDaily,0
Leonore M. Greller,0
Lebowski Lovers,0
LeadJig,0
Laxalt for Nevada,0
Lauren Doherty for Allen City Council Place 3,0
Latinx Spaces,0
Kristin Robbins Volunteer Committee,0
Kimberly-Carr Home Designs,0
KevinMD, LLC,0
Kevin de León for U.S. Senate,0
Kevin Daley for State Senate,0
Kathy Wolfe Moore for State Representative, Patricia Gaunce, Treasurer,0
Kanew for Congress,0
Justice Democrats, not authorized by any candidate or candidate's committee.,0
John Upchurch for Congress,0
John Haste for State Senate 2018,0
John Fisher for Bell County Commissioner - PCT. 4,0
Joe Messerli,0
Joe Cunningham for Congress,0
Jobs First IE PAC,0
Jessica Stalder,0
Jake Brown for Mesa,0
J Street, the political home for pro-Israel, pro-peace Americans.,0
J Matthew Ash,0
Ipsos,0
Independent Women's Forum,0
Immigrant Report,0
Ikonic Designs,0
IOOGO INC.,0
Hurd for Congress,0
How To Be Pro-Life,0
House Majority PAC,0
Hoffman for Senate, Rod Hoffman, Treasurer.,0
Heifer International,0
Green Matters,0
Great Public Schools for US,0
Great America Alliance,0
GoVote Media Project,0
Global Citizen,0
Giffords.,0
Gerald Boudreaux,0
GO PATRIOTIC,0
Friends of William Tanoos,0
Friends of Thomas Morgan, 1432 Wickham, Lansing, MI 48906,0
Friends of Sara Love, Elizabeth H. Ellis, Treasurer,0
Friends of Sam Givhan, 100 Washington St., Huntsville, AL 35801,0
Friends of Nomiki Konst,0
Friends of Nicole Miller for HD82,0
Friends of Nate Loewentheil, Guy Tawney, Treasurer.,0
Friends of Michael Blake,0
Friends of Matt Gaetz,0
Friends of Jessa Lewis,0
Friends of Jeffery Harness,0
Friends of Jay Edwards,0
Friends of Dana Beyer,0
Friends of Dan Kildee,0
Friends of Chris Todd for State Representative,0
Friends of Ben Jealous, Jason Small, Treasurer,0
Friends of Allendale Strong,0
Friends of Al Carter,0
Fred Donaldson,0
Frantz for State Senate. Robert J. Oca, Treasurer. Approved by Scott Frantz.,0
Frank Pressly for Anderson County Council District 4,0
Framed Tweets Inc,0
Florida Sunlight Project,0
Florida Republican Senatorial Campaign Committee,0
First Liberty Institute,0
Federal Voting Assistance Program,0
Farley for Governor,0
FRIENDS OF S. ASHLEY NICKLOES,0
Eye On DC the views, thoughts, and opinions expressed in the video belong solely to the correspondents and guests, and not necessarily to the correspondent employer, organization, committee or other group or individual.,0
Evangelical Environmental Network,0
Evan Vincent for State Senate 2018,0
Evan Glass for Montgomery County Council ,0
Equality PAC, lgbtequalitypac.org. Not authorized by any candidate or candidate’s committee.,0
Equality California,0
Elect Jeff Bradley,0
Dowling for Auditor,0
Dope Thredz,0
Dontchaknow,0
Donald Trump Dog Poop Bags,0
Donald J. Trump for President, Inc,0
Don't Slack,0
Distractify,0
Director Alexander Valdez,0
Dillen McCann,0
Digital Product Showcase,0
Diane Lewis for Utah House,0
Diana Arezzo, Ph.D., concerned private citizen, solely for the purpose of increasing post reach,0
Devoted,0
Desley Brooks Campaign for City Council FPPC #1236617,0
Designs For Victory,0
Decaying In The Void,0
Deb Fischer for U.S. Senate,0
David Trone For Congress, Inc. ,0
David Schoenthal for Richmond City Council – FPPC ID #1401123,0
Darwin List Network,0
Dan Kohl for Congress,0
Culture Shocked,0
Courage Campaign,0
Connected Commerce Council (3C),0
Community Committee to Elect Robert Cohen,0
Committee to elect Tom Falter,0
Committee to Elect Mark Melrose,0
Committee to Elect Marc Lombardo,0
Committee to Elect Joe Perkins for Circuit Judge, Group 25.   ,0
Committee to Elect Joan Carter Conway, Gerald Stinnette, Treasurer,0
Committee to Elect Donna Cathy Judge,0
Committee to Elect Camaron Stevenson,0
Committee to Elect Allan Kittleman; Bradley Myers, Treasurer,0
Committee to Elect Abe Laydon,0
Committee To Elect Victoria McKay Kennison,0
Committee To Elect Danielle McCluskey,0
Come Back O,0
Coalition for Future Mobility,0
Clergy for a New Drug Policy,0
Citizens for Rauner, Inc.,0
Citizens for Martin T. Tully,0
Chris Wilhelm for County Council,0
Chris Humphrey Committee,0
Cheddar,0
Center for American Progress,0
Carlos Curbelo Congress,0
Caracal Reports Inc,0
Capitol Ministries,0
Cape Fear Indivisible,0
Candace Donnelly, Common Sense Civics and Citizenship,0
Campaign to Elect Stephanie Orman for Mayor,0
Campaign to Elect Annie O'Connell for Jefferson County Circuit Judge,0
CMMB-Healthier Lives Worldwide,0
CALinnovates,0
By Authority of Richard McDowell, Treasurer,0
Build CT,0
Brut,0
Bottlepops USA,0
Bob Rackleff,0
Bob Casey for Senate,0
Blue Lives Matter,0
Blair for Montgomery,0
Bill Conway for Council, Ira Goldstein, Treasurer ,0
Big Lie LLC,0
Big Bridge,0
Beth Kimmell,0
Bearing Arms,0
Be Conscious. Be Kind.,0
Barbara Kanninen for School Board Committee,0
Aspiration,0
Askov Finlayson,0
Arjun Sethi, Author of American Hate,0
American Totem,0
American Freedom Fan Page,0
American Clothing Co.,0
Alyse for Alaska,0
Alliance for a Better Minnesota,0
All My Favorite Products,0
Alex Heeren, Democrat, for Florida House District 66.,0
Alec Mento,0
Alec J Rappleyea,0
Alaskans for Dunleavy,0
Alan McMillan for Escambia County Commissioner - District 2,0
Alabama Today.,0
Addicted to Golf,0
A Whole Lot Of People For Grijalva Congressional Committee,0
#VoteTogether | A project of Civic Nation,0
