,ad_creative_link_caption,ad_type,normalized_url
0,secure.actblue.com,DONATE,secure.actblue.com
1,fb.me,CONNECT,fb.me
2,donaldjtrump.com,CONNECT,donaldjtrump.com
3,www.donaldjtrump.com/donate,DONATE,donaldjtrump.com/donate
4,homeenergy.guide,COMMERCIAL,homeenergy.guide
5,www.mikebloomberg.com,INFORM,mikebloomberg.com
6,www.zerowasteface.com,COMMERCIAL,zerowasteface.com
7,www.facebook.com,CONNECT,facebook.com
8,VOTE.GOP,MOVE,vote.gop
9,act.standupamerica.com,CONNECT,act.standupamerica.com
10,instagram.com,CONNECT,instagram.com
11,https://shop.donaldjtrump.com,COMMERCIAL,shop.donaldjtrump.com
12,fullystitched.com,COMMERCIAL,fullystitched.com
13,lifezette.com,INFORM,lifezette.com
14,fb.com,CONNECT,fb.com
15,mikebloomberg.com,INFORM,mikebloomberg.com
16,engage.us.greenpeace.org,CONNECT,engage.us.greenpeace.org
17,www.concealedonline.com,COMMERCIAL,concealedonline.com
18,surveymonkey.com,CONNECT,surveymonkey.com
19,homeprofessionals.org,COMMERCIAL,homeprofessionals.org
20,https://apps.apple.com/us/app/smartnews-local-brea...,COMMERCIAL,apps.apple.com
21,act.berniesanders.com,CONNECT,act.berniesanders.com
22,my.democrats.org,CONNECT,my.democrats.org
23,http://play.google.com/store/apps/details?id=jp.go...,COMMERCIAL,play.google.com
24,my.elizabethwarren.com,CONNECT,my.elizabethwarren.com
25,actionnetwork.org,CONNECT,actionnetwork.org
26,FANBANK.COM,CONNECT,fanbank.com
27,itunes.apple.com,COMMERCIAL,itunes.apple.com
28,takeaction.oceanconservancy.org,CONNECT,takeaction.oceanconservancy.org
29,thedudesdesigns.com,COMMERCIAL,thedudesdesigns.com
30,donate.oceanconservancy.org,DONATE,donate.oceanconservancy.org
31,thepetitionsite.com,CONNECT,thepetitionsite.com
32,actnow.prochoiceamerica.org,CONNECT,actnow.prochoiceamerica.org
33,cacountiessolarprogram.com,COMMERCIAL,cacountiessolarprogram.com
34,youtube.com,INFORM,youtube.com
35,www.thedudetees.com,COMMERCIAL,thedudetees.com
36,p2a.co,CONNECT,p2a.co
37,action.kamalaharris.org,CONNECT,action.kamalaharris.org
38,petitions.moveon.org,CONNECT,petitions.moveon.org
39,www.donaldjtrump.com/,CONNECT,donaldjtrump.com/
40,truthexam.com,INFORM,truthexam.com
41,secure.everyaction.com,CONNECT,secure.everyaction.com
42,momentumsolar.com,COMMERCIAL,momentumsolar.com
43,play.google.com,COMMERCIAL,play.google.com
44,democrats.org,CONNECT,democrats.org
45,loveyourfaith.co,COMMERCIAL,loveyourfaith.co
46,secure.ngpvan.com,CONNECT,secure.ngpvan.com
47,register2.rockthevote.com,MOVE,register2.rockthevote.com
48,needtoimpeach.com,CONNECT,needtoimpeach.com
49,buildingnewyorksbest.com,INFORM,buildingnewyorksbest.com
50,homefinancialhelper.com,COMMERCIAL,homefinancialhelper.com
51,financewatchdogs.com,COMMERCIAL,financewatchdogs.com
52,act.credoaction.com,CONNECT,act.credoaction.com
53,maps.google.com,MOVE,maps.google.com
54,act.everytown.org,CONNECT,act.everytown.org
55,SECURE.ACTBLUE.COM,DONATE,secure.actblue.com
56,action.dscc.org,CONNECT,action.dscc.org
57,survivallife.familyprotectionassociation.com,COMMERCIAL,survivallife.familyprotectionassociation.com
58,https://www.profitingoff.us/,INFORM,profitingoff.us
59,reptherepublicans.com,COMMERCIAL,reptherepublicans.com
60,medicaresupplement.com,INFORM,medicaresupplement.com
61,act.myngp.com,CONNECT,act.myngp.com
62,www.exxchange.com,CONNECT,exxchange.com
63,triggeredfreedom.com,COMMERCIAL,triggeredfreedom.com
64,eventbrite.com,MOVE,eventbrite.com
65,Donaldjtrump.com,MOVE,donaldjtrump.com
66,plannedparenthood.org,COMMERCIAL,plannedparenthood.org
67,secure.nokidhungry.org,DONATE,secure.nokidhungry.org
68,subscribe.theepochtimes.com,COMMERCIAL,subscribe.theepochtimes.com
69,membership.onlineaction.org,DONATE,membership.onlineaction.org
70,istandwithpp.org,CONNECT,istandwithpp.org
71,nytimes.com,COMMERCIAL,nytimes.com
72,secure.winred.com,DONATE,secure.winred.com
73,RESCUE.ORG,DONATE,rescue.org
74,vote.gop,MOVE,vote.gop
75,https://vote.gop/,MOVE,vote.gop
76,go.joebiden.com,CONNECT,go.joebiden.com
77,armedamerican.supply,COMMERCIAL,armedamerican.supply
78,patriotdepot.com,COMMERCIAL,patriotdepot.com
79,act.betoorourke.com,CONNECT,act.betoorourke.com
80,concealedclub.com,COMMERCIAL,concealedclub.com
81,thehill.com,INFORM,thehill.com
82,westernjournal.com,INFORM,westernjournal.com
83,www.printedkicks.com,COMMERCIAL,printedkicks.com
84,Tickets.DeathofaNationMovie.com,MOVE,tickets.deathofanationmovie.com
85,donaldtrumpcollectables.store,COMMERCIAL,donaldtrumpcollectables.store
86,etsy.com,COMMERCIAL,etsy.com
87,nvcountiessolarprogram.com,COMMERCIAL,nvcountiessolarprogram.com
